model,kind,n_seeds,n,dim,rankme_sigma_raw,rankme_sigma_raw_std,rankme_sigma_centered,rankme_sigma_centered_std,eff_rank_sigma2,eff_rank_sigma2_std,rankme_sigma_raw_norm,rankme_sigma_raw_norm_std,eff_rank_sigma2_norm,eff_rank_sigma2_norm_std,stable_rank,stable_rank_std,participation_ratio,participation_ratio_std,alpha_spectral,alpha_spectral_std,alpha_r2,alpha_r2_std,aniso_cosine,aniso_cosine_std,aniso_spectral,aniso_spectral_std,fisher_ratio,fisher_ratio_std,knn_purity,knn_purity_std,intrinsic_dim_twonn,intrinsic_dim_twonn_std,nc1_canonical,nc1_canonical_std,nc1_inverse,nc1_inverse_std,silhouette,silhouette_std,dbi,dbi_std,chi,chi_std,nc2_mean_cos,nc2_mean_cos_std,nc2_std_cos,nc2_std_cos_std,logme_train,logme_train_std,logme_test,logme_test_std
dinov3_vitl16_lvd,frozen,1,17598,1024,449.2545535512592,0.0,548.6870054159614,0.0,58.53333603289801,0.0,0.4387251499524016,0.0,0.057161460969626966,0.0,5.611725622320879,0.0,17.22967366630712,0.0,1.6503189875646276,0.0,0.9828765259743756,0.0,0.6104364395141602,0.0,182.4750654107172,0.0,0.24063640238753436,0.0,0.60756,0.0,14.726262471025404,0.0,3.4764274804075534,0.0,0.2876516209918117,0.0,0.010783098135381643,0.0,5.3329751985971905,0.0,505.89290583840784,0.0,-0.08265507419245745,0.0,0.4108965465254704,0.0,50684.92777291796,0.0,44593.98899745272,0.0
dinov3_vith16plus_lvd,frozen,1,17598,1280,568.5348595499584,0.0,695.7503702693807,0.0,63.42582981102853,0.0,0.44416785902340494,0.0,0.049551429539866035,0.0,5.805680496003529,0.0,17.37068636319023,0.0,1.5022328718222082,0.0,0.9922031069182091,0.0,0.6295725703239441,0.0,220.4737241191824,0.0,0.21194888881041601,0.0,0.60122,0.0,15.606776005539137,0.0,3.9231677598628756,0.0,0.25489605879986577,0.0,0.0033731645818237356,0.0,5.0825447389219995,0.0,448.2856986113708,0.0,-0.08968427460526764,0.0,0.3963966351293848,0.0,50684.0075809526,0.0,44596.135722346924,0.0
simdinov2_vitl16,frozen,1,17598,1024,574.9548550680735,0.0,636.8301265769004,0.0,98.73916367741599,0.0,0.5614793506524155,0.0,0.09642496452872655,0.0,7.077688007525847,0.0,22.783301195902766,0.0,1.6097070289729607,0.0,0.9358008270873793,0.0,0.4174744188785553,0.0,144.68001399767275,0.0,0.22829985904319708,0.0,0.66422,0.0,9.868395337308149,0.0,3.9130280721205337,0.0,0.255556561713555,0.0,0.004917325317297255,0.0,5.124626986709079,0.0,449.4473250857431,0.0,-0.08466364536541064,0.0,0.3583331142763509,0.0,50690.12956135432,0.0,44599.46503708855,0.0
simdinov2_vitb16,frozen,1,17598,768,442.81796071027344,0.0,505.01488751193585,0.0,86.3409416889132,0.0,0.5765858863415019,0.0,0.11242310115743907,0.0,6.237685676422006,0.0,21.57500506760681,0.0,1.5061812376075643,0.0,0.8386651531235675,0.0,0.49350762367248535,0.0,123.12258742100192,0.0,0.23126452976297923,0.0,0.661,0.0,9.440112493997454,0.0,3.6011536512815754,0.0,0.2776887899920191,0.0,0.009422706604030877,0.0,5.0325582389073595,0.0,488.37127495909806,0.0,-0.0849412901154097,0.0,0.36539391211476974,0.0,50688.42643331266,0.0,44600.51038060503,0.0
dinov3_vitb16_lvd,frozen,1,17598,768,357.6000350156232,0.0,431.61962254058267,0.0,61.39238696057072,0.0,0.46562504559325935,0.0,0.07993800385490979,0.0,5.848103155629634,0.0,18.5157407520043,0.0,1.733785178613475,0.0,0.899820344522824,0.0,0.5872923135757446,0.0,131.32463288727908,0.0,0.2247941053926719,0.0,0.6126,0.0,13.620742581375675,0.0,3.8421320073758407,0.0,0.26027216089400723,0.0,0.006842477095370667,0.0,5.411747256191627,0.0,457.74064936438464,0.0,-0.08511006774564936,0.0,0.40276326819831965,0.0,50684.64464473893,0.0,44594.995495827316,0.0
dinov3_vits16_lvd,frozen,1,17598,384,184.57678265628053,0.0,234.94999869756347,0.0,44.04262167929877,0.0,0.4806687048340639,0.0,0.11469432728984054,0.0,4.695583508395411,0.0,13.884723231268902,0.0,1.7389380332161541,0.0,0.813635790695608,0.0,0.6458176970481873,0.0,81.77897364905382,0.0,0.27107671645583875,0.0,0.62742,0.0,12.667552992496315,0.0,3.0377294813819375,0.0,0.32919323663565536,0.0,0.00411904861537847,0.0,4.927424842347106,0.0,578.9521452712395,0.0,-0.08820333586548242,0.0,0.402109092162402,0.0,50681.66195895581,0.0,44599.91833963845,0.0
dinov3_vitl16_sat,frozen,1,17598,1024,350.0990861999408,0.0,542.9012679792291,0.0,48.14238797156881,0.0,0.3418936388671297,0.0,0.047014050753485165,0.0,4.41865335773837,0.0,12.996232249167324,0.0,1.6298034151359257,0.0,0.9832245069143467,0.0,0.8405900597572327,0.0,231.74481388241801,0.0,0.24842475030756359,0.0,0.62548,0.0,11.443520794813256,0.0,3.3571734379161553,0.0,0.2978696270814105,0.0,-0.010595962164004208,0.0,5.2078390493909765,0.0,523.8633131481595,0.0,-0.0780288909910783,0.0,0.45219782518085866,0.0,50668.95008618037,0.0,44593.2423080459,0.0
vitb16_imagenet,frozen,1,17598,768,352.8959443476051,0.0,431.3128106271847,0.0,51.33634383092864,0.0,0.45949992753594415,0.0,0.06684419769652167,0.0,5.089718247722834,0.0,15.228676839487491,0.0,1.7182775047930556,0.0,0.7753459294421066,0.0,0.5975930690765381,0.0,150.89243895644069,0.0,0.23852315712837227,0.0,0.60228,0.0,13.839079576172619,0.0,3.626945395357537,0.0,0.27571410401703783,0.0,-0.010234978533202722,0.0,5.24581941589779,0.0,484.8983947348824,0.0,-0.08413681067745726,0.0,0.4212735708777778,0.0,50688.17455260933,0.0,44597.64611488252,0.0
scalemae_vitl16,frozen,1,17598,1024,79.52924291381056,0.0,339.3186781778191,0.0,10.888390388566238,0.0,0.07766527628301813,0.0,0.010633193738834217,0.0,2.537426735285888,0.0,4.457794615284988,0.0,1.8262302352892574,0.0,0.99212490204168,0.0,0.9645828008651733,0.0,403.5584498894418,0.0,0.3226914410972375,0.0,0.61998,0.0,10.592890095274539,0.0,2.573042285643374,0.0,0.3886449925752259,0.0,-0.030822881147418914,0.0,5.057197952999053,0.0,683.5099484421465,0.0,-0.08566978915859123,0.0,0.49261453424506774,0.0,50679.45846276848,0.0,44596.550368590906,0.0
satmae_vitl16,frozen,1,17598,1024,186.2017579080259,0.0,429.7102246114112,0.0,15.625748943113638,0.0,0.18183765420705655,0.0,0.015259520452259413,0.0,2.656200516146181,0.0,5.054842651802771,0.0,1.7623541788618542,0.0,0.9749660459676469,0.0,0.9200567603111267,0.0,385.5130641589128,0.0,0.24747973288874675,0.0,0.59422,0.0,14.451548015844644,0.0,2.887200025593336,0.0,0.34635632832337204,0.0,-0.03989381179423265,0.0,5.2359019758810215,0.0,609.1368746220097,0.0,-0.08019417050727067,0.0,0.49810272586669524,0.0,50674.3133034222,0.0,44585.31347844114,0.0
